Sampling Event ID,Capture Year,Capture Date,Round,Site,SiteCode,Height,Specimen ID,Family,Genus,Species,Sex,Number,Bowls Recovered,ID Checked?,Pinned?
1,2017,5.29,1,PYW,PYW-S,Low,0,NA,X,X,X,0,6,NA,NA
1,2017,5.29,1,PYW,PYW-S,High,0,NA,X,X,X,0,6,NA,NA
2,2017,5.29,1,STE,STE-N,Low,0,NA,X,X,X,0,6,NA,NA
2,2017,5.29,1,STE,STE-N,High,1376,Halictidae,Halictus,ligatus,F,1,6,Y,Y
3,2017,5.29,1,RIS,RIS-S,Low,1370,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
3,2017,5.29,1,RIS,RIS-S,Low,1371,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
3,2017,5.29,1,RIS,RIS-S,Low,1372,Apidae,Ceratina,dupla,F,1,6,Y,Y
3,2017,5.29,1,GIL,GIL-C,High,1377,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
3,2017,5.29,1,GIL,GIL-C,High,1378,Apidae,Ceratina,dupla,F,1,6,Y,Y
3,2017,5.29,1,GIL,GIL-C,High,1379,Halictidae,Halictus,ligatus,F,1,6,Y,Y
3,2017,5.29,1,GIL,GIL-C,High,1380,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Broken
3,2017,5.29,1,GIL,GIL-C,High,1381,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
4,2017,5.29,1,GIL,GIL-C,Low,1373,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
4,2017,5.29,1,GIL,GIL-C,Low,1374,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
4,2017,5.29,1,GIL,GIL-C,Low,1375,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
4,2017,5.29,1,RIS,RIS-S,High,1382,Halictidae,Halictus,ligatus,F,1,6,Y,Y
4,2017,5.29,1,RIS,RIS-S,High,1383,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
4,2017,5.29,1,RIS,RIS-S,High,1384,Halictidae,Halictus,ligatus,F,1,6,Y,Y
4,2017,5.29,1,RIS,RIS-S,High,1385,Apidae,Ceratina,dupla,F,1,6,Y,Y
4,2017,5.29,1,RIS,RIS-S,High,1386,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
5,2017,5.31,1,KLN,KLN-E,High,0,NA,X,X,X,0,6,NA,NA
5,2017,5.31,1,KLN,KLN-E,Low,1387,Halictidae,Augochlorella,aurata,F,1,6,Y,Broken
6,2017,5.31,1,PYW,PYW-N,High,0,NA,X,X,X,0,0,NA,NA
6,2017,5.31,1,PYW,PYW-N,Low,0,NA,X,X,X,0,1,NA,NA
7,2017,5.31,1,LTR,LTR-C,High,1388,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,High,1389,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,High,1390,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,High,1391,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Broken
7,2017,5.31,1,LTR,LTR-C,High,1392,Apidae,Ceratina,dupla,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,High,1393,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,High,1394,Halictidae,Halictus,ligatus,F,1,6,Y,Mold
7,2017,5.31,1,LTR,LTR-C,Low,1395,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,Low,1396,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
7,2017,5.31,1,LTR,LTR-C,Low,1397,Halictidae,Augochlorella,aurata,F,1,6,Y,Y
8,2017,5.31,1,GIL,GIL-S,Low,0,NA,X,X,X,0,6,NA,NA
8,2017,5.31,1,GIL,GIL-S,High,1398,Halictidae,Halictus,ligatus,F,1,6,Y,Y
8,2017,5.31,1,GIL,GIL-S,High,1399,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
9,2017,6.08,1,STE,STE-W,High,1400,Apidae,Eucera,hamata,F,1,6,Y,Y
9,2017,6.08,1,STE,STE-W,High,1401,Halictidae,Agapostemon,virescens,F,1,6,Y,Mold
9,2017,6.08,1,STE,STE-W,High,1402,Halictidae,Lasioglossum,Dialictus,F,1,6,Y,Y
9,2017,6.08,1,STE,STE-W,Low,1403,Apidae,Eucera,hamata,F,1,6,Y,Y
10,2017,6.08,1,GIL,GIL-N,Low,0,NA,X,X,X,0,6,NA,NA
10,2017,6.08,1,GIL,GIL-N,High,1404,Halictidae,Agapostemon,virescens,F,1,6,Y,Mold
10,2017,6.08,1,GIL,GIL-N,High,1405,Apidae,Ceratina,dupla,F,1,6,Y,Y
