"Sampling.Event.ID","Julian","Site","SiteCode","Fescue.Treatment","alsike clover","bergamot","birdsfoot trefoil","black medick","black-eyed susan","blackberry","broadleaf plantain","butterfly milkweed","canada anemone","canada thistle","catnip","chickweed","chicory","common cinquefoil","daisy fleabane","dandelion","deptford pink","field bindweed","field cress","germander","grey-headed coneflower","hairy mountain mint","hoary vervain","horse nettle","ironweed","multiflora rose","oxeye daisy","partridge pea","prairie cinquefoil","prairie petunia","prairie rose","queen anne's lace","red clover","ribwort plantain","self-heal","slender mountain mint","sulfur cinquefoil","swamp agrimony","swamp vervain","sweet black-eyed susan","white clover","white lobelia","white sweet clover","wild parsnip","wild white indigo","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
1,149,"PYW","PYW-S","Con",3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,48,0,0,0,0,0,1,0,136,5,0.924808890907756
2,149,"STE","STE-N","Spr",7,0,0,218,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,33,0,0,0,0,0,0,34,364,6,1.2223448431876
3,149,"RIS","RIS-S","Ref",0,0,0,20,0,337,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,379,6,0.482564009312944
4,149,"GIL","GIL-C","SnS",10,0,0,87,0,0,4,0,0,0,0,6,0,0,1,1,0,0,7,0,0,0,0,0,0,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,317,0,0,0,0,10,25,0,649,12,1.38255320270239
5,151,"KLN","KLN-E","Ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,12,3,0.721463686692511
6,151,"PYW","PYW-N","SnS",0,0,64,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,70,0,0,0,0,0,0,0,313,12,0,0,0,0,0,0,534,6,1.28994338587697
7,151,"LTR","LTR-C","Spr",0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,74,4,1.1362524374259
8,151,"GIL","GIL-S","Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,87,4,0.665152582903635
9,161,"STE","STE-W","Con",0,0,20,66,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,0,2,0,0,0,0,1,0,4,110,8,1.28391068303192
10,161,"GIL","GIL-N","Spr",268,0,135,5,0,0,0,0,0,0,0,0,0,0,41,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,7,1.43554677230323
11,161,"LTR","LTR-E","SnS",0,0,0,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,138,4,0.874131520974433
12,161,"PYS","PYS-W","Ref",21,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,591,0,0,0,0,0,0,0,0,13,0,0,0,1,0,1,901,7,0.863819790566333
13,172,"PYN","PYN-N","Ref",0,0,2198,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,2,0,0,0,0,0,0,125,0,27,6,0,0,0,0,2651,8,0.615777186901329
14,172,"STE","STE-S","SnS",62,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,365,4,0.654478818353013
15,172,"LTR","LTR-W","Con",0,0,7,1,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,78,5,0.856787972697752
16,172,"PYW","PYW-C","Spr",0,0,248,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,52,0,0,7,7,0,0,4,56,0,0,0,0,4,0,0,390,9,1.19445458691058
17,173,"RIS","RIS-S","Ref",0,0,824,0,0,3,0,0,0,0,0,0,0,0,13,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,1,0,33,0,0,0,0,2,0,5,976,9,0.643178181848885
18,173,"STE","STE-N","Spr",0,0,2270,5,54,0,135,0,0,0,0,0,0,0,312,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,162,47,0,0,0,0,0,8,8,3,0,0,0,0,0,11,3018,13,0.958518060128173
19,173,"PYW","PYW-S","Con",400,0,2655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,910,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3971,6,0.849338489369701
20,173,"GIL","GIL-C","SnS",0,0,878,0,0,0,0,0,0,0,0,0,0,0,468,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,180,0,0,0,0,0,0,655,0,0,0,0,10,0,0,2332,7,1.46438369679042
21,185,"KLN","KLN-E","Ref",118,0,39,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,371,7,1.18787194036816
22,185,"LTR","LTR-C","Spr",0,0,0,8,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,27,0,0,0,0,0,1,0,44,0,1,0,0,2,0,2,155,9,1.43110058340055
23,185,"GIL","GIL-S","Con",0,0,621,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,342,0,0,7,0,0,0,0,988,7,0.785398276816386
24,185,"GIL","GIL-N","Spr",0,0,1450,0,0,0,0,0,0,0,0,0,2,0,107,0,47,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,168,0,0,0,0,0,0,0,1793,7,0.71656176025882
