Sampling Event ID,Capture Year,Capture Date,Round,Site,SiteCode,Nectar Common Name,Section 1,Section 2,Section 3,Section 4,Section 5,Collector,Enterer,Checker
1,2017,5.28,1,PYW,PYW-S,Red Clover,32,4,12,17,14,EKS,NJL,EKS
1,2017,5.28,1,PYW,PYW-S,White Clover,22,14,7,1,4,EKS,NJL,EKS
1,2017,5.28,1,PYW,PYW-S,Birdsfoot Trefoil,2,0,0,3,0,EKS,NJL,EKS
1,2017,5.28,1,PYW,PYW-S,Alsike Clover,2,0,1,0,0,EKS,NJL,EKS
1,2017,5.28,1,PYW,PYW-S,Yellow Oxalis,0,0,0,0,1,EKS,NJL,EKS
2,2017,5.28,1,STE,STE-N,White Clover,4,14,10,5,0,ELM,NJL,EKS
2,2017,5.28,1,STE,STE-N,Red Clover,29,8,24,0,1,ELM,NJL,EKS
2,2017,5.28,1,STE,STE-N,Black Medick,62,20,67,50,19,ELM,NJL,EKS
2,2017,5.28,1,STE,STE-N,Yellow Sweet Clover,19,15,0,0,0,ELM,NJL,EKS
2,2017,5.28,1,STE,STE-N,Broadleaf Plantain,10,0,0,0,0,ELM,NJL,EKS
2,2017,5.28,1,STE,STE-N,Alsike Clover,0,0,5,0,2,ELM,NJL,EKS
3,2017,5.28,1,RIS,RIS-S,Black Medick,7,0,0,13,0,EKS,NJL,EKS
3,2017,5.28,1,RIS,RIS-S,Red Clover,1,10,0,0,0,EKS,NJL,EKS
3,2017,5.28,1,RIS,RIS-S,Blackberry,0,292,45,0,0,EKS,NJL,EKS
3,2017,5.28,1,RIS,RIS-S,White Clover,0,0,0,1,0,EKS,NJL,EKS
3,2017,5.28,1,RIS,RIS-S,Dandelion,0,0,0,1,0,EKS,NJL,EKS
3,2017,5.28,1,RIS,RIS-S,Chickweed,0,0,0,0,9,EKS,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,White Clover,34,76,75,45,87,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Yellow Oxalis,15,6,2,1,1,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Black Medick,9,36,42,0,0,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Alsike Clover,3,6,1,0,0,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Multiflora Rose,110,70,0,0,0,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Yarrow,10,0,0,0,0,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Daisy Fleabane,1,0,0,0,0,ELM,NJL,EKS
4,2017,5.28,1,GIL,GIL-C,Common Plantain,0,0,0,4,0,ELM,NJL,EKS
