"Round","Site","Patch","Post.ID","Adaptive.Mgmt","YSB","Herb.Trt","alsike clover","birdsfoot trefoil","black medick","black-eyed susan","chicory","common cinquefoil","daisy fleabane","dandelion","deptford pink","gray dogwood","hoary vervain","horse nettle","multiflora rose","oxeye daisy","plantago lanceolata","prairie petunia","prairie rose","purple coneflower","red clover","strawberry","sulfur cinquefoil","white clover","white lobelia","white sweet clover","wild parsnip","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"R1","GIL","GIL-C","GIL-C-P4","GB",0,"SnS",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"R1","GIL","GIL-C","GIL-C-P5","GB",0,"SnS",0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2,0.142505867392738
"R1","GIL","GIL-C","GIL-C-P6","GB",0,"SnS",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,2,0.500402423538188
"R1","GIL","GIL-N","GIL-N-P3","GB",0,"Spr",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"R1","GIL","GIL-N","GIL-N-P5","GB",0,"Spr",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
"R1","GIL","GIL-N","GIL-N-P6","GB",0,"Spr",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
"R1","GIL","GIL-S","GIL-S-P2","GB",0,"Con",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2,0.598269588585257
"R1","GIL","GIL-S","GIL-S-P3","GB",0,"Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"R1","GIL","GIL-S","GIL-S-P4","GB",0,"Con",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"R1","GIL","GIL-S","GIL-S-P5","GB",0,"Con",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,1,0
"R1","KLN","KLN-C","KLN-C-P3","PBG",1,"x",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0
"R1","KLN","KLN-C","KLN-C-P4","PBG",1,"x",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
