"Year","Date","Site","Patch","Adaptive.Mgmt","YSB","alfalfa","alsike clover","antelope horns","birdsfoot trefoil","black medick","black-eyed susan","blackberry","blue-eyed grass","broadleaf plantain","buttercup","butterfly milkweed","canada anemone","catnip","chickweed","chicory","common cinquefoil","common milkweed","common mullein","compass plant","corn speedwell","crown vetch","culver's root","cup plant","daisy fleabane","dandelion","deptford pink","dogbane","downy cinquefoil","field milkwort","field mint","field pennycress","fieldcress","flowering spurge","fringed loosestrife","germander","golden alexander","grey-headed coneflower","grooved yellow flax","ground cherry","hairy mountain mint","hawkweed","hoary vervain","horsenettle","illinois bundleflower","ironweed","lady's thumb","lead plant","morning glory","moth mullein","multiflora rose","musk thistle","new england aster","old field goldenrod","osier dogwood","oxeye daisy","oxeye sunflower","pale purple coneflower","pale spike lobelia","partridge pea","prairie blazing star","prairie cinquefoil","prairie coreopsis","prairie petunia","prairie ragwort","prairie rose","prairie turnip","pretty bedstraw","purple coneflower","purple milkweed","purple prairie clover","pussy toes","queen anne's lace","rapeseed","rattlesnake master","red clover","ribwort plantain","rosinweed","round-headed bush clover","sawtooth sunflower","self-heal","shepherd's purse","showy goldenrod","showy tick trefoil","slender mountain mint","spiderwort","spotted st. john's wort","st. john's wort","sticky bedstraw","strawberry","sulfur cinquefoil","swamp agrimony","swamp milkweed","swamp vervain","tall coreopsis","tall green milkweed","thimbleweed","venus' looking glass","virginia bunchflower","white campion","white clover","white prairie clover","white sweet clover","white vervain","white wild indigo","whorled milkweed","wild bergamot","wild garlic","wild parsnip","wild quinine","winged loosestrife","yarrow","yellow oxalis","yellow sweet clover","Abundance","Species.Density","Diversity"
"18","5.27","PYN","PYN-N","PBG","2",0,26,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,0.655046019444569
"18","5.27","PYN","PYN-S","PBG","0",0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,1,0
"18","5.27","PYN","PYN-W","PBG","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
"18","6.08","KLN","KLN-C","PBG","1",0,20,0,29,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,91,0,0,584,10,1.90894805950584
"18","6.08","KLN","KLN-E","PBG","2",0,5,0,387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,501,9,0.905814813205279
"18","6.08","KLN","KLN-W","PBG","0",0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,24,5,1.07681028267792
"18","6.08","RIS","RIS-C","PBG","0",0,0,0,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,5,0,0,1075,6,0.473134077681667
"18","6.08","RIS","RIS-N","PBG","1",0,1,0,1090,432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,34,1704,11,1.01319558702635
"18","6.08","RIS","RIS-S","PBG","2",0,0,0,668,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,767,9,0.621867405779551
"18","6.17","PYN","PYN-N","PBG","2",0,0,0,1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,3,2093,5,0.27738331962065
