"Year","Date","Site","Patch","Adaptive.Mgmt","YSB","BFLY.Common.Name","Number"
"18",160,"KLN","KLN-W","PBG","0","american lady",1
"18",176,"KLN","KLN-W","PBG","0","american lady",1
"18",160,"RIS","RIS-S","PBG","2","american lady",1
"18",205,"KLN","KLN-W","PBG","0","black swallowtail",1
"18",203,"PYN","PYN-S","PBG","0","black swallowtail",2
"18",205,"KLN","KLN-C","PBG","1","black swallowtail",2
"18",147,"PYN","PYN-W","PBG","1","black swallowtail",1
"18",169,"PYN","PYN-W","PBG","1","black swallowtail",4
"18",188,"PYN","PYN-W","PBG","1","black swallowtail",2
"18",176,"RIS","RIS-N","PBG","1","black swallowtail",2
"18",176,"KLN","KLN-E","PBG","2","black swallowtail",1
"18",205,"KLN","KLN-E","PBG","2","black swallowtail",1
"18",169,"PYN","PYN-N","PBG","2","black swallowtail",1
"18",160,"RIS","RIS-S","PBG","2","black swallowtail",1
"18",193,"KLN","KLN-W","PBG","0","cabbage white",4
"18",169,"PYN","PYN-S","PBG","0","cabbage white",2
"18",203,"PYN","PYN-S","PBG","0","cabbage white",1
"18",160,"RIS","RIS-C","PBG","0","cabbage white",2
"18",176,"RIS","RIS-C","PBG","0","cabbage white",1
"18",194,"RIS","RIS-C","PBG","0","cabbage white",7
"18",206,"RIS","RIS-C","PBG","0","cabbage white",1
"18",160,"KLN","KLN-C","PBG","1","cabbage white",2
"18",176,"KLN","KLN-C","PBG","1","cabbage white",1
"18",193,"KLN","KLN-C","PBG","1","cabbage white",1
"18",169,"PYN","PYN-W","PBG","1","cabbage white",3
"18",188,"PYN","PYN-W","PBG","1","cabbage white",3
"18",176,"RIS","RIS-N","PBG","1","cabbage white",1
"18",194,"RIS","RIS-N","PBG","1","cabbage white",2
"18",160,"KLN","KLN-E","PBG","2","cabbage white",6
"18",176,"KLN","KLN-E","PBG","2","cabbage white",2
"18",193,"KLN","KLN-E","PBG","2","cabbage white",2
"18",205,"KLN","KLN-E","PBG","2","cabbage white",1
"18",169,"PYN","PYN-N","PBG","2","cabbage white",1
