"Round","Site","Patch","Post.ID","Adaptive.Mgmt","YSB","Flower.Common.Name","Flower.Number"
"R2","KLN","KLN-E","KLN-E-P2","PBG",2,"alsike clover",4
"R2","KLN","KLN-E","KLN-E-P3","PBG",2,"alsike clover",7
"R3","KLN","KLN-E","KLN-E-P3","PBG",2,"bergamot",6
"R3","RIS","RIS-C","RIS-C-P4","PBG",0,"bergamot",8
"R3","RIS","RIS-C","RIS-C-P5","PBG",0,"bergamot",1
"R2","KLN","KLN-E","KLN-E-P1","PBG",2,"birdsfoot trefoil",4
"R1","PYN","PYN-N","PYN-N-P2","PBG",2,"birdsfoot trefoil",7
"R2","PYN","PYN-N","PYN-N-P2","PBG",2,"birdsfoot trefoil",34
"R3","PYN","PYN-N","PYN-N-P2","PBG",2,"birdsfoot trefoil",6
"R1","PYN","PYN-N","PYN-N-P3","PBG",2,"birdsfoot trefoil",4
"R2","PYN","PYN-N","PYN-N-P3","PBG",2,"birdsfoot trefoil",26
"R3","PYN","PYN-N","PYN-N-P3","PBG",2,"birdsfoot trefoil",2
"R1","PYN","PYN-N","PYN-N-P4","PBG",2,"birdsfoot trefoil",5
"R2","PYN","PYN-N","PYN-N-P4","PBG",2,"birdsfoot trefoil",38
"R3","PYN","PYN-N","PYN-N-P4","PBG",2,"birdsfoot trefoil",7
"R1","PYN","PYN-N","PYN-N-P5","PBG",2,"birdsfoot trefoil",2
"R2","PYN","PYN-N","PYN-N-P5","PBG",2,"birdsfoot trefoil",32
"R3","PYN","PYN-N","PYN-N-P5","PBG",2,"birdsfoot trefoil",5
"R1","PYN","PYN-N","PYN-N-P6","PBG",2,"birdsfoot trefoil",13
"R2","PYN","PYN-N","PYN-N-P6","PBG",2,"birdsfoot trefoil",22
"R3","PYN","PYN-N","PYN-N-P6","PBG",2,"birdsfoot trefoil",2
"R1","RIS","RIS-S","RIS-S-P1","PBG",2,"birdsfoot trefoil",13
"R2","RIS","RIS-S","RIS-S-P1","PBG",2,"birdsfoot trefoil",30
"R3","RIS","RIS-S","RIS-S-P1","PBG",2,"birdsfoot trefoil",6
"R1","RIS","RIS-S","RIS-S-P2","PBG",2,"birdsfoot trefoil",9
"R2","RIS","RIS-S","RIS-S-P2","PBG",2,"birdsfoot trefoil",28
"R3","RIS","RIS-S","RIS-S-P2","PBG",2,"birdsfoot trefoil",25
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"birdsfoot trefoil",1
"R2","RIS","RIS-S","RIS-S-P3","PBG",2,"birdsfoot trefoil",36
"R3","RIS","RIS-S","RIS-S-P3","PBG",2,"birdsfoot trefoil",26
"R1","RIS","RIS-S","RIS-S-P5","PBG",2,"birdsfoot trefoil",1
"R2","RIS","RIS-S","RIS-S-P5","PBG",2,"birdsfoot trefoil",32
"R3","RIS","RIS-S","RIS-S-P5","PBG",2,"birdsfoot trefoil",37
"R1","RIS","RIS-S","RIS-S-P6","PBG",2,"birdsfoot trefoil",5
"R2","RIS","RIS-S","RIS-S-P6","PBG",2,"birdsfoot trefoil",24
"R3","RIS","RIS-S","RIS-S-P6","PBG",2,"birdsfoot trefoil",43
"R1","KLN","KLN-W","KLN-W-P3","PBG",0,"birdsfoot trefoil",8
"R1","KLN","KLN-W","KLN-W-P4","PBG",0,"birdsfoot trefoil",11
"R2","KLN","KLN-W","KLN-W-P4","PBG",0,"birdsfoot trefoil",26
"R3","KLN","KLN-W","KLN-W-P4","PBG",0,"birdsfoot trefoil",12
"R1","KLN","KLN-W","KLN-W-P5","PBG",0,"birdsfoot trefoil",21
"R2","KLN","KLN-W","KLN-W-P5","PBG",0,"birdsfoot trefoil",18
"R3","KLN","KLN-W","KLN-W-P5","PBG",0,"birdsfoot trefoil",7
"R1","PYN","PYN-S","PYN-S-P1","PBG",0,"birdsfoot trefoil",13
"R2","PYN","PYN-S","PYN-S-P1","PBG",0,"birdsfoot trefoil",10
"R3","PYN","PYN-S","PYN-S-P1","PBG",0,"birdsfoot trefoil",28
"R1","PYN","PYN-S","PYN-S-P2","PBG",0,"birdsfoot trefoil",22
"R2","PYN","PYN-S","PYN-S-P2","PBG",0,"birdsfoot trefoil",28
"R3","PYN","PYN-S","PYN-S-P2","PBG",0,"birdsfoot trefoil",11
"R1","PYN","PYN-S","PYN-S-P3","PBG",0,"birdsfoot trefoil",9
"R2","PYN","PYN-S","PYN-S-P3","PBG",0,"birdsfoot trefoil",6
"R3","PYN","PYN-S","PYN-S-P3","PBG",0,"birdsfoot trefoil",28
"R1","PYN","PYN-S","PYN-S-P4","PBG",0,"birdsfoot trefoil",20
"R2","PYN","PYN-S","PYN-S-P4","PBG",0,"birdsfoot trefoil",20
"R3","PYN","PYN-S","PYN-S-P4","PBG",0,"birdsfoot trefoil",19
"R1","PYN","PYN-S","PYN-S-P5","PBG",0,"birdsfoot trefoil",22
"R2","PYN","PYN-S","PYN-S-P5","PBG",0,"birdsfoot trefoil",3
"R3","PYN","PYN-S","PYN-S-P5","PBG",0,"birdsfoot trefoil",14
"R1","PYN","PYN-S","PYN-S-P6","PBG",0,"birdsfoot trefoil",3
"R2","PYN","PYN-S","PYN-S-P6","PBG",0,"birdsfoot trefoil",12
"R3","PYN","PYN-S","PYN-S-P6","PBG",0,"birdsfoot trefoil",3
"R1","RIS","RIS-C","RIS-C-P4","PBG",0,"birdsfoot trefoil",28
"R2","RIS","RIS-C","RIS-C-P4","PBG",0,"birdsfoot trefoil",25
"R3","RIS","RIS-C","RIS-C-P4","PBG",0,"birdsfoot trefoil",10
"R1","RIS","RIS-C","RIS-C-P5","PBG",0,"birdsfoot trefoil",23
"R2","RIS","RIS-C","RIS-C-P5","PBG",0,"birdsfoot trefoil",30
"R3","RIS","RIS-C","RIS-C-P5","PBG",0,"birdsfoot trefoil",20
"R1","RIS","RIS-C","RIS-C-P6","PBG",0,"birdsfoot trefoil",24
"R2","RIS","RIS-C","RIS-C-P6","PBG",0,"birdsfoot trefoil",10
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"birdsfoot trefoil",10
"R1","KLN","KLN-C","KLN-C-P4","PBG",1,"birdsfoot trefoil",3
"R2","KLN","KLN-C","KLN-C-P4","PBG",1,"birdsfoot trefoil",8
"R2","KLN","KLN-C","KLN-C-P6","PBG",1,"birdsfoot trefoil",15
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"birdsfoot trefoil",8
"R3","PYN","PYN-W","PYN-W-P1","PBG",1,"birdsfoot trefoil",2
"R1","PYN","PYN-W","PYN-W-P2","PBG",1,"birdsfoot trefoil",36
"R2","PYN","PYN-W","PYN-W-P2","PBG",1,"birdsfoot trefoil",52
"R3","PYN","PYN-W","PYN-W-P2","PBG",1,"birdsfoot trefoil",20
"R1","PYN","PYN-W","PYN-W-P3","PBG",1,"birdsfoot trefoil",31
"R2","PYN","PYN-W","PYN-W-P3","PBG",1,"birdsfoot trefoil",34
"R3","PYN","PYN-W","PYN-W-P3","PBG",1,"birdsfoot trefoil",12
"R1","PYN","PYN-W","PYN-W-P4","PBG",1,"birdsfoot trefoil",3
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"birdsfoot trefoil",18
"R3","PYN","PYN-W","PYN-W-P4","PBG",1,"birdsfoot trefoil",5
"R1","PYN","PYN-W","PYN-W-P5","PBG",1,"birdsfoot trefoil",1
"R2","PYN","PYN-W","PYN-W-P5","PBG",1,"birdsfoot trefoil",5
"R2","PYN","PYN-W","PYN-W-P6","PBG",1,"birdsfoot trefoil",12
"R1","RIS","RIS-N","RIS-N-P1","PBG",1,"birdsfoot trefoil",2
"R2","RIS","RIS-N","RIS-N-P1","PBG",1,"birdsfoot trefoil",45
"R3","RIS","RIS-N","RIS-N-P1","PBG",1,"birdsfoot trefoil",3
"R1","RIS","RIS-N","RIS-N-P2","PBG",1,"birdsfoot trefoil",22
"R2","RIS","RIS-N","RIS-N-P2","PBG",1,"birdsfoot trefoil",52
"R3","RIS","RIS-N","RIS-N-P2","PBG",1,"birdsfoot trefoil",18
"R1","RIS","RIS-N","RIS-N-P3","PBG",1,"birdsfoot trefoil",7
"R2","RIS","RIS-N","RIS-N-P3","PBG",1,"birdsfoot trefoil",40
"R3","RIS","RIS-N","RIS-N-P3","PBG",1,"birdsfoot trefoil",21
"R1","RIS","RIS-N","RIS-N-P4","PBG",1,"birdsfoot trefoil",3
"R2","RIS","RIS-N","RIS-N-P4","PBG",1,"birdsfoot trefoil",25
"R3","RIS","RIS-N","RIS-N-P4","PBG",1,"birdsfoot trefoil",25
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"birdsfoot trefoil",9
"R2","RIS","RIS-N","RIS-N-P5","PBG",1,"birdsfoot trefoil",30
"R3","RIS","RIS-N","RIS-N-P5","PBG",1,"birdsfoot trefoil",22
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"birdsfoot trefoil",14
"R2","RIS","RIS-N","RIS-N-P6","PBG",1,"birdsfoot trefoil",25
"R3","RIS","RIS-N","RIS-N-P6","PBG",1,"birdsfoot trefoil",16
"R1","PYN","PYN-N","PYN-N-P3","PBG",2,"black medick",43
"R1","PYN","PYN-N","PYN-N-P4","PBG",2,"black medick",4
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"black medick",4
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"black medick",2
"R1","PYN","PYN-W","PYN-W-P1","PBG",1,"black medick",43
"R2","PYN","PYN-W","PYN-W-P1","PBG",1,"black medick",15
"R1","PYN","PYN-W","PYN-W-P3","PBG",1,"black medick",4
"R1","PYN","PYN-W","PYN-W-P4","PBG",1,"black medick",17
"R2","PYN","PYN-W","PYN-W-P4","PBG",1,"black medick",3
"R1","RIS","RIS-N","RIS-N-P3","PBG",1,"black medick",2
"R1","RIS","RIS-N","RIS-N-P4","PBG",1,"black medick",15
"R1","RIS","RIS-N","RIS-N-P5","PBG",1,"black medick",33
"R1","RIS","RIS-N","RIS-N-P6","PBG",1,"black medick",30
"R2","KLN","KLN-C","KLN-C-P1","PBG",1,"black-eyed susan",2
"R3","KLN","KLN-C","KLN-C-P1","PBG",1,"black-eyed susan",5
"R3","PYN","PYN-N","PYN-N-P4","PBG",2,"chicory",6
"R1","RIS","RIS-S","RIS-S-P3","PBG",2,"common cinquefoil",1
"R1","KLN","KLN-E","KLN-E-P5","PBG",2,"daisy fleabane",3
