"Round","Site","Patch","Post.ID","Adaptive.Mgmt","YSB","Height","Bowl.Color","Bee.Species","Number"
"R1","RIS","RIS-C","RIS-C-P3","PBG","0","High","Blue","Agapostemon.texanus",1
"R2","RIS","RIS-C","RIS-C-P5","PBG","0","High","Blue","Agapostemon.texanus",1
"R1","KLN","KLN-C","KLN-C-P1","PBG","1","High","Blue","Agapostemon.texanus",1
"R2","KLN","KLN-E","KLN-E-P2","PBG","2","High","Blue","Agapostemon.texanus",1
"R2","PYN","PYN-S","PYN-S-P5","PBG","0","High","Yellow","Agapostemon.texanus",1
"R3","KLN","KLN-W","KLN-W-P4","PBG","0","High","Blue","Agapostemon.virescens",1
"R2","KLN","KLN-W","KLN-W-P6","PBG","0","High","Blue","Agapostemon.virescens",2
"R2","PYN","PYN-S","PYN-S-P6","PBG","0","High","Blue","Agapostemon.virescens",2
"R2","RIS","RIS-C","RIS-C-P2","PBG","0","High","Blue","Agapostemon.virescens",1
"R1","RIS","RIS-C","RIS-C-P3","PBG","0","High","Blue","Agapostemon.virescens",2
"R2","RIS","RIS-C","RIS-C-P5","PBG","0","High","Blue","Agapostemon.virescens",4
"R1","KLN","KLN-C","KLN-C-P1","PBG","1","High","Blue","Agapostemon.virescens",3
"R2","KLN","KLN-C","KLN-C-P4","PBG","1","High","Blue","Agapostemon.virescens",7
"R1","KLN","KLN-C","KLN-C-P5","PBG","1","High","Blue","Agapostemon.virescens",1
"R2","KLN","KLN-C","KLN-C-P5","PBG","1","High","Blue","Agapostemon.virescens",1
"R2","PYN","PYN-W","PYN-W-P2","PBG","1","High","Blue","Agapostemon.virescens",3
"R2","PYN","PYN-W","PYN-W-P5","PBG","1","High","Blue","Agapostemon.virescens",2
"R1","RIS","RIS-N","RIS-N-P2","PBG","1","High","Blue","Agapostemon.virescens",4
"R2","RIS","RIS-N","RIS-N-P2","PBG","1","High","Blue","Agapostemon.virescens",7
"R1","RIS","RIS-N","RIS-N-P4","PBG","1","High","Blue","Agapostemon.virescens",2
"R2","KLN","KLN-E","KLN-E-P2","PBG","2","High","Blue","Agapostemon.virescens",18
"R2","KLN","KLN-E","KLN-E-P5","PBG","2","High","Blue","Agapostemon.virescens",3
"R1","KLN","KLN-E","KLN-E-P6","PBG","2","High","Blue","Agapostemon.virescens",1
"R2","PYN","PYN-N","PYN-N-P2","PBG","2","High","Blue","Agapostemon.virescens",1
"R2","RIS","RIS-S","RIS-S-P1","PBG","2","High","Blue","Agapostemon.virescens",2
"R1","RIS","RIS-S","RIS-S-P5","PBG","2","High","Blue","Agapostemon.virescens",1
"R2","RIS","RIS-S","RIS-S-P6","PBG","2","High","Blue","Agapostemon.virescens",2
"R1","KLN","KLN-W","KLN-W-P3","PBG","0","Low","Blue","Agapostemon.virescens",1
"R2","PYN","PYN-S","PYN-S-P1","PBG","0","Low","Blue","Agapostemon.virescens",2
"R2","PYN","PYN-S","PYN-S-P6","PBG","0","Low","Blue","Agapostemon.virescens",1
"R2","RIS","RIS-C","RIS-C-P5","PBG","0","Low","Blue","Agapostemon.virescens",2
