"Sampling.Event.ID","Julian","Site","SiteCode","Height","Fescue.Treatment","Genus","Agapostemon texanus","Agapostemon virescens","Apis mellifera","Augochlorella aurata","Calliopsis nebraskensis","Ceratina dupla","Eucera hamata","Halictus ligatus","Lasioglossum Dialictus","Lasioglossum Evylaeus","Lasioglossum Hemihalictus","Melissodes bimaculata","Melissodes boltoniae","Melissodes communis","Melissodes trinodis","Osmia lignaria","Osmia pumila","Species.Density","Abundance","Diversity"
2,149,"STE","STE-N","High","Spr","Halictus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3,149,"GIL","GIL-C","High","SnS","Ceratina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3,149,"GIL","GIL-C","High","SnS","Halictus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
3,149,"GIL","GIL-C","High","SnS","Lasioglossum",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0
3,149,"RIS","RIS-S","Low","Ref","Augochlorella",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
3,149,"RIS","RIS-S","Low","Ref","Ceratina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,149,"GIL","GIL-C","Low","SnS","Augochlorella",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
4,149,"GIL","GIL-C","Low","SnS","Lasioglossum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
4,149,"RIS","RIS-S","High","Ref","Augochlorella",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,149,"RIS","RIS-S","High","Ref","Ceratina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,149,"RIS","RIS-S","High","Ref","Halictus",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0
4,149,"RIS","RIS-S","High","Ref","Lasioglossum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
5,151,"KLN","KLN-E","Low","Ref","Augochlorella",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7,151,"LTR","LTR-C","High","Spr","Augochlorella",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
7,151,"LTR","LTR-C","High","Spr","Ceratina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
7,151,"LTR","LTR-C","High","Spr","Halictus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
7,151,"LTR","LTR-C","High","Spr","Lasioglossum",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0
7,151,"LTR","LTR-C","Low","Spr","Augochlorella",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
8,151,"GIL","GIL-S","High","Con","Halictus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
8,151,"GIL","GIL-S","High","Con","Lasioglossum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
9,161,"STE","STE-W","High","Con","Agapostemon",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
9,161,"STE","STE-W","High","Con","Eucera",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
9,161,"STE","STE-W","High","Con","Lasioglossum",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
9,161,"STE","STE-W","Low","Con","Eucera",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
10,161,"GIL","GIL-N","High","Spr","Agapostemon",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
10,161,"GIL","GIL-N","High","Spr","Ceratina",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
11,161,"LTR","LTR-E","High","SnS","Agapostemon",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.636514168294813
11,161,"LTR","LTR-E","Low","SnS","Augochlorella",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
11,161,"LTR","LTR-E","Low","SnS","Lasioglossum",0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,4,0.693147180559945
13,172,"PYN","PYN-N","High","Ref","Augochlorella",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
13,172,"PYN","PYN-N","High","Ref","Lasioglossum",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,5,0
14,172,"STE","STE-S","High","SnS","Augochlorella",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
14,172,"STE","STE-S","High","SnS","Ceratina",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
14,172,"STE","STE-S","High","SnS","Lasioglossum",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,6,0
15,172,"LTR","LTR-W","High","Con","Augochlorella",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
