"Sampling.Event.ID","Julian","Site","SiteCode","Fescue.Treatment","Nectar.Common.Name","TransectTotals"
1,149,"PYW","PYW-S","Con","red clover",79
1,149,"PYW","PYW-S","Con","white clover",48
1,149,"PYW","PYW-S","Con","birdsfoot trefoil",5
1,149,"PYW","PYW-S","Con","alsike clover",3
1,149,"PYW","PYW-S","Con","yellow oxalis",1
2,149,"STE","STE-N","Spr","white clover",33
2,149,"STE","STE-N","Spr","red clover",62
2,149,"STE","STE-N","Spr","black medick",218
2,149,"STE","STE-N","Spr","yellow sweet clover",34
2,149,"STE","STE-N","Spr","broadleaf plantain",10
2,149,"STE","STE-N","Spr","alsike clover",7
3,149,"RIS","RIS-S","Ref","black medick",20
3,149,"RIS","RIS-S","Ref","red clover",11
3,149,"RIS","RIS-S","Ref","blackberry",337
3,149,"RIS","RIS-S","Ref","white clover",1
3,149,"RIS","RIS-S","Ref","dandelion",1
3,149,"RIS","RIS-S","Ref","chickweed",9
4,149,"GIL","GIL-C","SnS","white clover",317
4,149,"GIL","GIL-C","SnS","yellow oxalis",25
4,149,"GIL","GIL-C","SnS","black medick",87
4,149,"GIL","GIL-C","SnS","alsike clover",10
4,149,"GIL","GIL-C","SnS","multiflora rose",180
4,149,"GIL","GIL-C","SnS","yarrow",10
4,149,"GIL","GIL-C","SnS","daisy fleabane",1
4,149,"GIL","GIL-C","SnS","broadleaf plantain",4
4,149,"GIL","GIL-C","SnS","chickweed",6
4,149,"GIL","GIL-C","SnS","field cress",7
4,149,"GIL","GIL-C","SnS","red clover",1
4,149,"GIL","GIL-C","SnS","dandelion",1
5,151,"KLN","KLN-E","Ref","white clover",9
5,151,"KLN","KLN-E","Ref","red clover",1
5,151,"KLN","KLN-E","Ref","dandelion",2
6,151,"PYW","PYW-N","SnS","white clover",313
6,151,"PYW","PYW-N","SnS","birdsfoot trefoil",64
6,151,"PYW","PYW-N","SnS","red clover",70
6,151,"PYW","PYW-N","SnS","white lobelia",12
6,151,"PYW","PYW-N","SnS","oxeye daisy",44
6,151,"PYW","PYW-N","SnS","black medick",31
7,151,"LTR","LTR-C","Spr","black medick",29
