Sampling Event ID,Capture Year,Capture Date,Round,Site,Patch,Flower Common Name,P1,P2,P3,P4,P5,P6,Collector,Enterer,Entry Date,Checker,Check Date
42,2018,6.03,R1,KLN,KLN-W,birdsfoot trefoil,,,8,11,21,,NJL,NJL,6.03,NJL,6.11
43,2018,6.03,R1,KLN,KLN-C,white lobelia,,,2,,,,EKS,NJL,6.03,NJL,6.11
43,2018,6.03,R1,KLN,KLN-C,birdsfoot trefoil,,,,3,,,EKS,NJL,6.03,NJL,6.11
43,2018,6.03,R1,KLN,KLN-C,yellow oxalis,,,,,1,,EKS,NJL,6.03,NJL,6.11
44,2018,6.03,R1,KLN,KLN-E,white clover,1,,,3,,,HFM,NJL,6.03,NJL,6.11
44,2018,6.03,R1,KLN,KLN-E,multiflora rose,,,1,,,,HFM,NJL,6.03,NJL,6.11
44,2018,6.03,R1,KLN,KLN-E,red clover,,,,1,,2,HFM,NJL,6.03,NJL,6.11
44,2018,6.03,R1,KLN,KLN-E,daisy fleabane,,,,,3,,HFM,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,birdsfoot trefoil,2,22,7,3,9,14,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,deptford pink,,1,,,,,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,daisy fleabane,,1,,,,,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,white clover,,,4,,,,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,black medick,,,2,15,33,30,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,oxeye daisy,,,,,1,,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,red clover,,,,,2,,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,yellow sweet clover,,,,,,6,EKS,NJL,6.03,NJL,6.11
45,2018,6.03,R1,RIS,RIS-N,gray dogwood,,,,,,4,EKS,NJL,6.03,NJL,6.11
46,2018,6.03,R1,RIS,RIS-C,birdsfoot trefoil,,,,28,23,24,NJL,NJL,6.03,NJL,6.11
46,2018,6.03,R1,RIS,RIS-C,white clover,,,,,3,2,NJL,NJL,6.03,NJL,6.11
46,2018,6.03,R1,RIS,RIS-C,daisy fleabane,,,,,,5,NJL,NJL,6.03,NJL,6.11
46,2018,6.03,R1,RIS,RIS-C,white lobelia,,,,,,7,NJL,NJL,6.03,NJL,6.11
46,2018,6.03,R1,RIS,RIS-C,sulfur cinquefoil,,,,1,,,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,birdsfoot trefoil,13,9,1,,1,5,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,daisy fleabane,5,,,,,,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,deptford pink,1,,,,,,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,yarrow,2,,,,,,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,plantago lanceolata,5,3,,,,,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,black medick,,,4,,,,NJL,NJL,6.03,NJL,6.11
47,2018,6.03,R1,RIS,RIS-S,common cinquefoil,,,1,,,,NJL,NJL,6.03,NJL,6.11
48,2018,6.03,R1,PYN,PYN-S,white clover,1,,,1,2,3,NJL,NJL,6.03,NJL,6.11
48,2018,6.03,R1,PYN,PYN-S,birdsfoot trefoil,13,22,9,20,22,3,NJL,NJL,6.03,NJL,6.11
48,2018,6.03,R1,PYN,PYN-S,red clover,,,1,3,2,,NJL,NJL,6.03,NJL,6.11
49,2018,6.03,R1,PYN,PYN-W,birdsfoot trefoil,,36,31,3,1,,HFM,NJL,6.03,NJL,6.11
49,2018,6.03,R1,PYN,PYN-W,black medick,43,,4,17,,,HFM,NJL,6.03,NJL,6.11
49,2018,6.03,R1,PYN,PYN-W,strawberry,,2,,,,,HFM,NJL,6.03,NJL,6.11
49,2018,6.03,R1,PYN,PYN-W,red clover,1,,,,,,HFM,NJL,6.03,NJL,6.11
49,2018,6.03,R1,PYN,PYN-W,white clover,6,,,,,,HFM,NJL,6.03,NJL,6.11
49,2018,6.03,R1,PYN,PYN-W,yellow sweet clover,9,,,,,,HFM,NJL,6.03,NJL,6.11
50,2018,6.03,R1,PYN,PYN-N,birdsfoot trefoil,,7,4,5,2,13,NJL,NJL,6.03,NJL,6.11
50,2018,6.03,R1,PYN,PYN-N,black medick,,,43,4,,,NJL,NJL,6.03,NJL,6.11
50,2018,6.03,R1,PYN,PYN-N,multiflora rose,,,2,,,,NJL,NJL,6.03,NJL,6.11
50,2018,6.03,R1,PYN,PYN-N,red clover,,,,,7,,NJL,NJL,6.03,NJL,6.11
51,2018,6.05,R1,LTR,LTR-E,black medick,20,5,,15,6,,NJL,NJL,6.05,NJL,6.11
51,2018,6.05,R1,LTR,LTR-E,alsike clover,,,1,,1,,NJL,NJL,6.05,NJL,6.11
51,2018,6.05,R1,LTR,LTR-E,yarrow,,,,2,,,NJL,NJL,6.05,NJL,6.11
51,2018,6.05,R1,LTR,LTR-E,yellow sweet clover,,7,,2,,,NJL,NJL,6.05,NJL,6.11
51,2018,6.05,R1,LTR,LTR-E,daisy fleabane,1,,3,,,,NJL,NJL,6.05,NJL,6.11
51,2018,6.05,R1,LTR,LTR-E,red clover,,8,,,,,NJL,NJL,6.05,NJL,6.11
52,2018,6.05,R1,LTR,LTR-W,daisy fleabane,,2,,,,3,HFM,NJL,6.05,NJL,6.11
52,2018,6.05,R1,LTR,LTR-W,purple coneflower,24,,,,,,HFM,NJL,6.05,NJL,6.11
53,2018,6.05,R1,LTR,LTR-C,alsike clover,6,,,,,,NJL,NJL,6.05,NJL,6.11
53,2018,6.05,R1,LTR,LTR-C,black medick,,,2,,,,NJL,NJL,6.05,NJL,6.11
53,2018,6.05,R1,LTR,LTR-C,daisy fleabane,,,,4,,,NJL,NJL,6.05,NJL,6.11
53,2018,6.05,R1,LTR,LTR-C,red clover,,,,,8,9,NJL,NJL,6.05,NJL,6.11
54,2018,6.05,R1,GIL,GIL-N,birdsfoot trefoil,,,6,,5,8,NJL,NJL,6.05,NJL,6.11
55,2018,6.05,R1,GIL,GIL-C,birdsfoot trefoil,,,,2,30,8,NJL,NJL,6.05,NJL,6.11
55,2018,6.05,R1,GIL,GIL-C,chicory,,,,,1,,NJL,NJL,6.05,NJL,6.11
55,2018,6.05,R1,GIL,GIL-C,red clover,,,,,,2,NJL,NJL,6.05,NJL,6.11
56,2018,6.05,R1,GIL,GIL-S,birdsfoot trefoil,,2,,1,,,HFM,NJL,6.05,NJL,6.11
56,2018,6.05,R1,GIL,GIL-S,white clover,,5,1,,9,,HFM,NJL,6.05,NJL,6.11
57,2018,6.05,R1,STE,STE-N,birdsfoot trefoil,24,18,38,62,16,12,EKS,NJL,6.05,NJL,6.11
57,2018,6.05,R1,STE,STE-N,red clover,,2,2,,4,26,EKS,NJL,6.05,NJL,6.11
57,2018,6.05,R1,STE,STE-N,prairie rose,,,,,1,,EKS,NJL,6.05,NJL,6.11
57,2018,6.05,R1,STE,STE-N,yellow sweet clover,,,3,,,,EKS,NJL,6.05,NJL,6.11
58,2018,6.05,R1,STE,STE-W,birdsfoot trefoil,11,7,20,8,6,35,NJL,NJL,6.05,NJL,6.11
58,2018,6.05,R1,STE,STE-W,deptford pink,,,1,,,1,NJL,NJL,6.05,NJL,6.11
58,2018,6.05,R1,STE,STE-W,red clover,,,,1,,,NJL,NJL,6.05,NJL,6.11
58,2018,6.05,R1,STE,STE-W,multiflora rose,,4,,,,,NJL,NJL,6.05,NJL,6.11
59,2018,6.05,R1,STE,STE-S,white clover,,,,,,1,HFM,NJL,6.05,NJL,6.11
59,2018,6.05,R1,STE,STE-S,multiflora rose,,44,,,7,,HFM,NJL,6.05,NJL,6.11
60,2018,6.17,R2,PYN,PYN-W,white sweet clover,20,20,10,12,3,,NJL,NJL,6.18,HFM,6.19
60,2018,6.17,R2,PYN,PYN-W,yellow sweet clover,2,,,,2,,NJL,NJL,6.18,HFM,6.19
60,2018,6.17,R2,PYN,PYN-W,white clover,7,,,1,,3,NJL,NJL,6.18,HFM,6.19
60,2018,6.17,R2,PYN,PYN-W,red clover,5,,,,,,NJL,NJL,6.18,HFM,6.19
60,2018,6.17,R2,PYN,PYN-W,birdsfoot trefoil,8,52,34,18,5,12,NJL,NJL,6.18,HFM,6.19
60,2018,6.17,R2,PYN,PYN-W,black medick,15,,,3,,,NJL,NJL,6.18,HFM,6.19
61,2018,6.17,R2,PYN,PYN-N,wild parsnip,5,,,,,,NJL,EKS,6.18,HFM,6.19
61,2018,6.17,R2,PYN,PYN-N,birdsfoot trefoil,,34,26,38,32,22,NJL,EKS,6.18,HFM,6.19
61,2018,6.17,R2,PYN,PYN-N,daisy fleabane,,16,,,,,NJL,EKS,6.18,HFM,6.19
61,2018,6.17,R2,PYN,PYN-N,white clover,,1,1,,,,NJL,EKS,6.18,HFM,6.19
61,2018,6.17,R2,PYN,PYN-N,red clover,,,3,1,4,,NJL,EKS,6.18,HFM,6.19
62,2018,6.17,R2,PYN,PYN-S,birdsfoot trefoil,10,28,6,20,3,12,NJL,EKS,6.18,HFM,6.19
