Genus,Common Name,Sociality,Nesting Habitat
Calliopsis,Mining Bee,Solitary,Ground
Apis,Honey Bee,Eusocial,Cavities/Hives
Ceratina,Small Carpenter Bee,Solitary/Semi-Social,Cavities
Eucera,Long-Horned Bee,Solitary,Cavities
Melissodes,Long-Horned Bee,Solitary,Ground
Agapostemon,Metallic Green Sweat Bee,Solitary/Communal,Ground
Augochlorella,Metallic Green Sweat Bee,Solitary/Primitive Social,Ground
Halictus,Furrow Bee / Sweat Bee,Social,Ground
Lasioglossum,Small Sweat Bee,Solitary/Primitive Social,Ground
Osmia,Mason Bee,Solitary,Cavities
