Project,Pasture,Patch,Year,YSB,Composite Mgmt,Stocking Rate,Adaptive Mgmt,Herbicide Treatment
Fescue,GIL,GIL-S,2018,0,IGB,IES,GB,Con
Fescue,GIL,GIL-C,2018,0,IGB,IES,GB,SnS
Fescue,GIL,GIL-N,2018,0,IGB,IES,GB,Spr
PBG,KLN,KLN-W,2018,0,PBIG,IES,PBG,x
PBG,KLN,KLN-C,2018,1,PBIG,IES,PBG,x
PBG,KLN,KLN-E,2018,2,PBIG,IES,PBG,Ref
Fescue,LTR,LTR-W,2018,0,IGB,IES,GB,Con
Fescue,LTR,LTR-E,2018,0,IGB,IES,GB,SnS
Fescue,LTR,LTR-C,2018,0,IGB,IES,GB,Spr
PBG,PYN,PYN-S,2018,0,PBIG,IES,PBG,x
PBG,PYN,PYN-W,2018,1,PBIG,IES,PBG,x
PBG,PYN,PYN-N,2018,2,PBIG,IES,PBG,Ref
PBG,RIS,RIS-C,2018,0,PBG,SLS,PBG,x
PBG,RIS,RIS-N,2018,1,PBG,SLS,PBG,x
PBG,RIS,RIS-S,2018,2,PBG,SLS,PBG,Ref
Fescue,STE,STE-W,2018,1,GB,SLS,GB,Con
Fescue,STE,STE-S,2018,1,GB,SLS,GB,SnS
Fescue,STE,STE-N,2018,1,GB,SLS,GB,Spr
