"Bee.Species","Number","Percent.Total"
"Agapostemon.virescens",186,26.05
"Lasioglossum.sp",186,26.05
"Augochlorella.aurata",103,14.426
"Ceratina.dupla",101,14.146
"Halictus.ligatus",77,10.784
"Hoplitis.producta",11,1.541
"Calliopsis.andreniformis",8,1.12
"Agapostemon.texanus",5,0.7
"Bombus.pensylvanicus",4,0.56
"Eucera.hamata",3,0.42
"Hoplitis.pilosifrons",3,0.42
"Melissodes.bimaculata",3,0.42
"Andrena.geranii",2,0.28
"Bombus.auricomus",2,0.28
"Heriades.carinatus",2,0.28
"Megachile.brevis",2,0.28
"Megachile.montivaga",2,0.28
"Andrena.commoda",1,0.14
"Andrena.cressonii",1,0.14
"Apis.mellifera",1,0.14
"Coelioxys.rufitarsis",1,0.14
"Hoplitis.truncata",1,0.14
"Hylaeus.affinis",1,0.14
"Megachile.gemula",1,0.14
"Melissodes.boltoniae",1,0.14
"Nomada.articulata",1,0.14
"Osmia.cordata",1,0.14
"Osmia.pumila",1,0.14
"Osmia.simillima",1,0.14
"Sphecodes.clematidis",1,0.14
"Stelis.lateralis",1,0.14
