"Sampling_Event_ID","Capture_Year","Capture_Date","Round","Site","Patch","Post_ID","Adaptive_Mgmt","Years_Since_Burn","Herbicide_Trt","Height","Bowl_Color","Bowl_Size_oz","Bowl_Status","Family","Bee_Species","Number"
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P1","PBG","0","x","Low","Blue",3.25,"Retrieved","Halictidae","Augochlorella.aurata",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P1","PBG","0","x","Low","Blue",3.25,"Retrieved","Megachilidae","Osmia.cordata",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P2","PBG","0","x","Low","White",3.25,"Retrieved","Halictidae","Augochlorella.aurata",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P2","PBG","0","x","Low","White",3.25,"Retrieved","Megachilidae","Hoplitis.pilosifrons",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P2","PBG","0","x","Low","White",3.25,"Retrieved","Megachilidae","Hoplitis.producta",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P3","PBG","0","x","Low","Blue",3.25,"Retrieved","Halictidae","Agapostemon.virescens",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P3","PBG","0","x","Low","Blue",3.25,"Retrieved","Halictidae","Augochlorella.aurata",2
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P3","PBG","0","x","Low","Blue",3.25,"Retrieved","Halictidae","Lasioglossum.sp",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P4","PBG","0","x","Low","Yellow",3.25,"Retrieved","Halictidae","Agapostemon.virescens",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P5","PBG","0","x","High","White",3.25,"Retrieved","Halictidae","Halictus.ligatus",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P5","PBG","0","x","Low","White",3.25,"Retrieved","Halictidae","Augochlorella.aurata",1
42,2018,6.04,"R1","KLN","KLN-W","KLN-W-P6","PBG","0","x","Low","Yellow",3.25,"Retrieved","Halictidae","Augochlorella.aurata",1
43,2018,6.04,"R1","KLN","KLN-C","KLN-C-P1","PBG","1","x","High","Blue",3.25,"Retrieved","Halictidae","Agapostemon.texanus",1
