"Sampling_Event_ID","Capture_Year","Capture_Date","Round","Site","Patch","Adaptive_Mgmt","Years_Since_Burn","Herbicide_Trt","Post_ID","Floral_Common","Sampled_Area","Inflor_Count"
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.1","alsike clover","Post.1",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.2","alsike clover","Post.2",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.3","alsike clover","Post.3",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.4","alsike clover","Post.4",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.5","alsike clover","Post.5",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.6","alsike clover","Post.6",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x",NA,"alsike clover","Transect",3
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.1","birdsfoot trefoil","Post.1",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.2","birdsfoot trefoil","Post.2",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.3","birdsfoot trefoil","Post.3",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.4","birdsfoot trefoil","Post.4",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.5","birdsfoot trefoil","Post.5",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.6","birdsfoot trefoil","Post.6",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x",NA,"birdsfoot trefoil","Transect",5
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.1","red clover","Post.1",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.2","red clover","Post.2",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.3","red clover","Post.3",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.4","red clover","Post.4",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.5","red clover","Post.5",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.6","red clover","Post.6",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x",NA,"red clover","Transect",79
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.1","white clover","Post.1",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.2","white clover","Post.2",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.3","white clover","Post.3",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.4","white clover","Post.4",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.5","white clover","Post.5",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.6","white clover","Post.6",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x",NA,"white clover","Transect",48
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.1","yellow oxalis","Post.1",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.2","yellow oxalis","Post.2",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.3","yellow oxalis","Post.3",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.4","yellow oxalis","Post.4",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.5","yellow oxalis","Post.5",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x","PYW-S-Post.6","yellow oxalis","Post.6",0
1,2017,5.28,"R1","PYW","PYW-S","x","x","x",NA,"yellow oxalis","Transect",1
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.1","alsike clover","Post.1",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.2","alsike clover","Post.2",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.3","alsike clover","Post.3",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.4","alsike clover","Post.4",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.5","alsike clover","Post.5",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.6","alsike clover","Post.6",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr",NA,"alsike clover","Transect",7
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.1","black medick","Post.1",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.2","black medick","Post.2",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.3","black medick","Post.3",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.4","black medick","Post.4",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.5","black medick","Post.5",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.6","black medick","Post.6",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr",NA,"black medick","Transect",218
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.1","broadleaf plantain","Post.1",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.2","broadleaf plantain","Post.2",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.3","broadleaf plantain","Post.3",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.4","broadleaf plantain","Post.4",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.5","broadleaf plantain","Post.5",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.6","broadleaf plantain","Post.6",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr",NA,"broadleaf plantain","Transect",10
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.1","red clover","Post.1",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.2","red clover","Post.2",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.3","red clover","Post.3",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.4","red clover","Post.4",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.5","red clover","Post.5",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.6","red clover","Post.6",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr",NA,"red clover","Transect",62
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.1","white clover","Post.1",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.2","white clover","Post.2",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.3","white clover","Post.3",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.4","white clover","Post.4",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.5","white clover","Post.5",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.6","white clover","Post.6",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr",NA,"white clover","Transect",33
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.1","yellow sweet clover","Post.1",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.2","yellow sweet clover","Post.2",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.3","yellow sweet clover","Post.3",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.4","yellow sweet clover","Post.4",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.5","yellow sweet clover","Post.5",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr","STE-N-Post.6","yellow sweet clover","Post.6",0
2,2017,5.28,"R1","STE","STE-N","GB","1","Spr",NA,"yellow sweet clover","Transect",34
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.1","black medick","Post.1",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.2","black medick","Post.2",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.3","black medick","Post.3",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.4","black medick","Post.4",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.5","black medick","Post.5",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.6","black medick","Post.6",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x",NA,"black medick","Transect",20
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.1","blackberry","Post.1",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.2","blackberry","Post.2",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.3","blackberry","Post.3",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.4","blackberry","Post.4",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.5","blackberry","Post.5",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.6","blackberry","Post.6",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x",NA,"blackberry","Transect",337
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.1","chickweed","Post.1",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.2","chickweed","Post.2",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.3","chickweed","Post.3",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.4","chickweed","Post.4",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.5","chickweed","Post.5",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.6","chickweed","Post.6",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x",NA,"chickweed","Transect",9
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.1","dandelion","Post.1",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.2","dandelion","Post.2",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.3","dandelion","Post.3",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.4","dandelion","Post.4",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.5","dandelion","Post.5",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.6","dandelion","Post.6",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x",NA,"dandelion","Transect",1
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.1","red clover","Post.1",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.2","red clover","Post.2",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.3","red clover","Post.3",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.4","red clover","Post.4",0
3,2017,5.28,"R1","RIS","RIS-S","PBG","2","x","RIS-S-Post.5","red clover","Post.5",0
